,index,Player,Value,Year
248,891,Markieff Morris,16.847113,2020
249,1013,Evan Turner,16.83886,2020
250,611,Alec Burks,16.795853,2020
251,835,Jeremy Lin,16.786018,2020
252,646,Allen Crabbe,16.78164,2020
253,908,Frank Ntilikina,16.742325,2020
254,666,Cheick Diallo,16.602772,2020
255,771,Chandler Hutchison,16.540526999999994,2020
256,1050,Christian Wood,16.405082999999998,2020
257,695,Terrance Ferguson,16.375446,2020
258,748,John Henson,16.363617,2020
259,989,Omari Spellman,16.346573,2020
260,974,Iman Shumpert,16.32068,2020
261,816,Luke Kornet,16.301679999999998,2020
262,879,Patty Mills,16.266989000000002,2020
263,812,Maxi Kleber,16.152647,2020
264,912,Royce O'Neale,16.132078,2020
265,642,Pat Connaughton,16.102073999999998,2020
266,782,Frank Jackson,16.05325,2020
267,864,T.J. McConnell,15.865746,2020
268,940,Norman Powell,15.858372,2020
269,951,Austin Rivers,15.79817,2020
270,877,Darius Miller,15.770557,2020
271,1048,D.J. Wilson,15.712433,2020
272,943,Ivan Rabb,15.703592,2020
273,785,Justin Jackson,15.5990715,2020
274,683,Wayne Ellington,15.587633,2020
275,580,Bismack Biyombo,15.575638,2020
276,551,Ryan Arcidiacono,15.494917,2020
277,1001,Daniel Theis,15.485767999999998,2020
278,824,Jake Layman,15.452410999999998,2020
279,572,Marco Belinelli,15.387510999999998,2020
280,997,Garrett Temple,15.379889000000002,2020
281,1046,Robert Williams,15.34043,2020
282,575,Dragan Bender,15.326003,2020
283,925,Chandler Parsons,15.302620999999998,2020
284,849,Shelvin Mack,15.218188,2020
285,640,Bonzie Colson,15.207267000000002,2020
286,623,Michael Carter-Williams,15.204049,2020
287,564,Keita Bates-Diop,15.190197,2020
288,854,Boban Marjanovic,15.172533,2020
289,867,Rodney McGruder,15.157345,2020
290,929,Cameron Payne,15.111728,2020
291,648,Jamal Crawford,15.108163,2020
292,600,Dillon Brooks,15.100374,2020
293,831,Meyers Leonard,15.091236,2020
294,1023,Moritz Wagner,15.07956,2020
295,1057,Tyler Zeller,15.07689,2020
296,794,James Johnson,15.028313,2020
297,577,Davis Bertans,14.989729,2020
298,582,Antonio Blakeney,14.968042,2020
299,579,Khem Birch,14.889072,2020
300,702,Tim Frazier,14.851820000000002,2020
301,810,Michael Kidd-Gilchrist,14.788143,2020
302,605,Sterling Brown,14.7246065,2020
303,758,Aaron Holiday,14.724188,2020
304,992,Lance Stephenson,14.704678,2020
305,668,Gorgui Dieng,14.696893,2020
306,602,Bruce Brown,14.689509,2020
307,971,Wayne Selden,14.642692000000002,2020
308,916,Elie Okobo,14.637772,2020
309,573,Jordan Bell,14.633959,2020
310,588,Jonah Bolden,14.591926999999998,2020
311,911,David Nwaba,14.584807,2020
312,555,Dwayne Bacon,14.523094,2020
313,690,Dante Exum,14.424638,2020
314,898,Mike Muscala,14.268471,2020
315,815,Furkan Korkmaz,14.2104225,2020
316,978,Jonathon Simmons,14.170287,2020
317,685,James Ennis,14.093981,2020
318,728,Gerald Green,14.090672,2020
319,1047,Troy Williams,14.055521,2020
320,707,Langston Galloway,14.038854999999998,2020
321,780,Wesley Iwundu,14.004355,2020
322,567,Aron Baynes,13.989356,2020
323,672,Tyler Dorsey,13.9709835,2020
324,647,Torrey Craig,13.957591,2020
325,620,Jevon Carter,13.932768,2020
326,749,Juan Hernangomez,13.897947,2020
327,617,Isaiah Canaan,13.87835,2020
328,756,George Hill,13.8594675,2020
329,566,Jerryd Bayless,13.849246,2020
330,924,Tony Parker,13.802877,2020
331,662,Matthew Dellavedova,13.785075,2020
332,670,Donte DiVincenzo,13.775858,2020
333,988,Ray Spalding,13.737188,2020
334,682,Henry Ellenson,13.722331,2020
335,984,J.R. Smith,13.712535999999998,2020
336,813,Brandon Knight,13.56834,2020
337,708,Billy Garrett,13.495837,2020
338,881,Shake Milton,13.431751,2020
339,722,Treveon Graham,13.34556,2020
340,720,Marcin Gortat,13.323334,2020
341,817,Kyle Korver,13.294158,2020
342,643,Quinn Cook,13.22296,2020
343,696,Yogi Ferrell,13.215335,2020
344,774,Ersan Ilyasova,13.208864000000002,2020
345,652,Seth Curry,13.138633,2020
346,964,Brandon Sampson,13.097241,2020
347,886,Greg Monroe,13.091904,2020
348,630,Wilson Chandler,13.089214,2020
349,903,Raul Neto,13.079789,2020
350,660,Sam Dekker,13.069046,2020
351,1002,Isaiah Thomas,13.064568,2020
352,594,Corey Brewer,13.057744,2020
353,633,Marquese Chriss,12.986161,2020
354,584,Jaron Blossomgame,12.887359,2020
355,757,Solomon Hill,12.831718,2020
356,941,Alex Poythress,12.813493,2020
357,944,Chasson Randle,12.808204,2020
358,845,Timothe Luwawu-Cabarrot,12.799002,2020
359,663,Luol Deng,12.769844,2020
360,752,Isaiah Hicks,12.748411,2020
361,667,Hamidou Diallo,12.7426405,2020
362,693,Cristiano Felicio,12.645744,2020
363,724,Jerian Grant,12.641783,2020
364,538,Rawle Alkins,12.636561,2020
365,857,Frank Mason,12.613642,2020
366,990,Nik Stauskas,12.60573,2020
367,635,Ian Clark,12.602359,2020
368,931,Gary Payton,12.594273,2020
369,625,Omri Casspi,12.564777,2020
370,801,Jalen Jones,12.524835,2020
371,927,Justin Patton,12.472799,2020
372,913,Kyle O'Quinn,12.471727,2020
373,818,Kosta Koufos,12.467207,2020
374,870,Jordan McRae,12.433214,2020
375,721,Devonte' Graham,12.326191,2020
376,790,Jonas Jerebko,12.208926,2020
377,769,Isaac Humphries,12.200324,2020
378,597,Isaiah Briscoe,12.111845,2020
379,899,Sviatoslav Mykhailiuk,12.071834,2020
380,868,Alfonzo McKinnie,12.034159,2020
381,948,Cameron Reynolds,11.99551,2020
382,987,Tony Snell,11.935086,2020
383,932,Theo Pinson,11.925991,2020
384,587,Andrew Bogut,11.922986,2020
385,836,Shaun Livingston,11.891575,2020
386,539,Grayson Allen,11.85737,2020
387,649,Mitch Creek,11.852423,2020
388,872,Salah Mejri,11.850699,2020
389,530,Alex Abrines,11.8138685,2020
390,532,Jaylen Adams,11.806794,2020
391,825,T.J. Leaf,11.747433,2020
392,674,PJ Dozier,11.720975,2020
393,980,Anfernee Simons,11.706287,2020
394,732,Daniel Hamilton,11.693526,2020
395,543,Justin Anderson,11.685393,2020
396,571,Michael Beasley,11.6779375,2020
397,738,Devin Harris,11.516439,2020
398,852,Ian Mahinmi,11.381102,2020
399,654,Troy Daniels,11.277836,2020
400,710,Pau Gasol,11.254896,2020
401,601,MarShon Brooks,11.234184,2020
402,535,Deng Adel,11.188801,2020
403,865,Doug McDermott,11.143965,2020
404,969,Mike Scott,11.129323,2020
405,792,Amir Johnson,11.128152,2020
406,955,Jerome Robinson,11.100402,2020
407,1032,Julian Washburn,11.095985,2020
408,907,Dirk Nowitzki,11.016534,2020
409,1026,Lonnie Walker,11.008553,2020
410,894,Johnathan Motley,10.975266,2020
411,1033,Yuta Watanabe,10.9605875,2020
412,934,Miles Plumlee,10.943089,2020
413,871,Jodie Meeks,10.916418,2020
414,993,Edmond Sumner,10.899971,2020
415,862,Patrick McCaw,10.888395,2020
416,733,Dusty Hannahs,10.884406,2020
417,900,Abdel Nader,10.883445,2020
418,589,Isaac Bonga,10.869847,2020
419,1030,Brad Wanamaker,10.849077,2020
420,742,Andrew Harrison,10.84557,2020
421,1028,Tyrone Wallace,10.843427,2020
422,876,C.J. Miles,10.813598,2020
423,745,Isaiah Hartenstein,10.788379,2020
424,954,Glenn Robinson,10.767389,2020
425,546,Ike Anigbogu,10.751085,2020
426,922,Zaza Pachulia,10.745479,2020
427,793,B.J. Johnson,10.675267,2020
428,827,Damion Lee,10.660675,2020
429,1000,Emanuel Terry,10.656503,2020
430,677,Jared Dudley,10.648638,2020
431,850,Daryl Macon,10.633517,2020
432,591,Chris Boucher,10.6154585,2020
433,634,Gary Clark,10.592848,2020
434,821,Skal Labissiere,10.587809,2020
435,754,Haywood Highsmith,10.487021,2020
