Player,PTS2,BLK2,STL2,AST2,TRB2,Value,Year
Davis Bertans,8.0,0.4,0.5,1.3,3.5,16.85,2019
Davon Reed,1.2,0.0,0.1,0.3,0.6,2.67,2019
De'Aaron Fox,17.3,0.6,1.6,7.3,3.8,39.41,2019
De'Anthony Melton,5.0,0.5,1.4,3.2,2.7,18.74,2019
DeAndre Jordan,11.0,1.1,0.6,2.3,13.1,35.27,2019
DeAndre' Bembry,8.4,0.5,1.3,2.5,4.4,22.83,2019
DeMar DeRozan,21.2,0.5,1.1,6.2,6.0,42.5,2019
DeMarcus Cousins,16.3,1.5,1.3,3.6,8.2,39.94,2019
DeMarre Carroll,11.1,0.1,0.5,1.3,5.2,21.09,2019
DeVaughn Akoon-Purcell,1.0,0.0,0.3,0.9,0.6,3.97,2019
Deandre Ayton,16.3,0.9,0.9,1.8,10.3,36.76,2019
Delon Wright,8.7,0.4,1.2,3.3,3.5,22.65,2019
Demetrius Jackson,3.7,0.0,0.3,0.8,0.5,6.4,2019
Deng Adel,1.7,0.2,0.1,0.3,1.0,4.25,2019
Dennis Schroder,15.5,0.2,0.8,4.1,3.6,28.97,2019
Dennis Smith,13.6,0.4,1.3,4.8,2.9,29.38,2019
Deonte Burton,2.6,0.3,0.2,0.3,0.9,5.63,2019
Derrick Favors,11.8,1.4,0.7,1.2,7.4,28.78,2019
Derrick Jones,7.0,0.7,0.8,0.6,4.0,17.2,2019
Derrick Rose,18.0,0.2,0.6,4.3,2.7,30.09,2019
Derrick White,9.9,0.7,1.0,3.9,3.7,25.29,2019
Devin Booker,26.6,0.2,0.9,6.8,4.1,45.02,2019
Devin Harris,6.3,0.2,0.5,1.8,1.6,13.02,2019
Devin Robinson,6.7,0.9,0.6,0.9,2.9,16.03,2019
Devonte' Graham,4.7,0.0,0.5,2.6,1.4,11.78,2019
Dewayne Dedmon,10.8,1.1,1.1,1.4,7.5,28.5,2019
Deyonta Davis,4.0,0.6,0.3,0.6,4.0,12.4,2019
Dillon Brooks,7.5,0.2,0.6,0.9,1.7,13.29,2019
Dion Waiters,12.0,0.2,0.7,2.8,2.6,22.02,2019
Dirk Nowitzki,7.3,0.4,0.2,0.7,3.1,13.87,2019
Domantas Sabonis,14.1,0.4,0.6,2.9,9.3,32.61,2019
Donatas Motiejunas,2.0,0.3,0.0,0.3,1.0,4.55,2019
Donovan Mitchell,23.8,0.4,1.4,4.2,4.1,40.42,2019
Donte DiVincenzo,4.9,0.2,0.5,1.1,2.4,11.53,2019
Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0,2019
Dorian Finney-Smith,7.5,0.4,0.9,1.2,4.8,18.96,2019
Doug McDermott,7.3,0.1,0.2,0.9,1.4,11.23,2019
Dragan Bender,5.0,0.5,0.4,1.2,4.0,14.3,2019
Draymond Green,7.4,1.1,1.4,6.9,7.3,34.01,2019
Drew Eubanks,1.8,0.2,0.1,0.3,1.5,4.95,2019
Duncan Robinson,3.3,0.0,0.3,0.3,1.3,6.21,2019
Dusty Hannahs,4.0,0.0,0.5,2.5,0.5,9.85,2019
Dwayne Bacon,7.3,0.1,0.3,1.1,2.1,12.67,2019
Dwight Howard,12.8,0.4,0.8,0.4,9.2,28.04,2019
Dwight Powell,10.6,0.6,0.6,1.5,5.3,22.81,2019
Dwyane Wade,15.0,0.5,0.8,4.2,4.0,30.0,2019
Dzanan Musa,2.1,0.0,0.2,0.2,0.6,3.72,2019
E'Twaun Moore,11.9,0.2,0.8,1.9,2.4,20.63,2019
Ed Davis,5.8,0.4,0.4,0.8,8.6,19.72,2019
Edmond Sumner,2.9,0.2,0.5,0.4,1.0,6.8,2019
Ekpe Udoh,2.3,0.6,0.2,0.5,1.8,7.61,2019
Elfrid Payton,10.6,0.4,1.0,7.6,5.2,32.44,2019
Elie Okobo,5.7,0.1,0.6,2.4,1.8,13.56,2019
Emanuel Terry,3.3,0.0,1.0,0.7,2.3,10.11,2019
Emmanuel Mudiay,14.8,0.3,0.7,3.9,3.3,27.61,2019
Enes Kanter,13.7,0.4,0.5,1.7,9.8,30.71,2019
Eric Bledsoe,15.9,0.4,1.5,5.5,4.6,35.37,2019
Eric Gordon,16.2,0.4,0.6,1.9,2.2,24.69,2019
Eric Moreland,1.4,0.2,0.2,0.8,4.0,8.6,2019
Ersan Ilyasova,6.8,0.3,0.5,0.8,4.5,15.8,2019
Evan Fournier,15.1,0.1,0.9,3.6,3.2,27.34,2019
Evan Turner,6.8,0.2,0.5,3.9,4.5,20.15,2019
Frank Jackson,8.1,0.0,0.4,1.1,2.2,13.59,2019
Frank Kaminsky,8.6,0.3,0.3,1.3,3.5,16.55,2019
Frank Mason,5.1,0.1,0.4,2.2,1.1,11.22,2019
Frank Ntilikina,5.7,0.3,0.7,2.8,2.0,15.3,2019
Fred VanVleet,11.0,0.3,0.9,4.8,2.6,24.92,2019
Furkan Korkmaz,5.8,0.0,0.6,1.1,2.2,11.89,2019
Garrett Temple,7.8,0.4,1.0,1.4,2.9,17.58,2019
Gary Clark,2.9,0.5,0.4,0.4,2.3,8.96,2019
Gary Harris,12.9,0.3,1.0,2.2,2.8,23.46,2019
Gary Payton,3.7,0.3,1.0,1.3,0.7,10.39,2019
